bill_id,session,name,organization,designated_env_impact,state_x,chamber_x,title,created_at,updated_at,type_x,subjects,state_y,chamber_y,date,action,actor,type_y
HB 58,2018,Expanding state agencies' use of LEDs ,League of Conservation Voters,positive,va,lower,State agencies; use of light-emitting diodes (LEDs) on outdoor lighting fixtures.,2018-01-11 06:54:03.977000,2018-02-14 08:14:50.330000,bill,Housing and Property|State Agencies|Government Reform,va,lower,2018-02-13 00:00:00,Left in Appropriations,lower,other
SB 837,2018,Retail Markets for Renewable Energy,Sierra Club,positive,va,upper,Electric utilities; retail competition.,2018-01-17 07:20:37.692000,2018-01-20 07:35:49.612000,bill,Public Services,va,upper,2018-01-15 00:00:00,Referred to Committee on Commerce and Labor,upper,committee:referred
HB 204,2018,Energy Benchmarking,Sierra Club,positive,va,lower,Energy benchmarking; access to data on energy usage in covered buildings.,2018-01-11 06:53:59.849000,2018-02-14 08:14:53.142000,bill,Public Services|Municipal and County Issues,va,lower,2018-02-13 00:00:00,"Left in Counties, Cities and Towns",lower,other
HB 655,2018,Coal Tax Credits,Sierra Club,negative,va,lower,"Conflict of Interests Act, State and Local Government; disclosure by local government officers.",2018-01-11 06:54:02.644000,2018-02-14 08:14:56.099000,bill,Government Reform|Municipal and County Issues,va,lower,2018-02-13 00:00:00,Left in General Laws,lower,other
HB 665,2018,Reinstating tax handouts for coal companies,League of Conservation Voters,negative,va,lower,Coalfield employment enhancement tax credit; metallurgical coal mined by underground methods.,2018-01-11 06:54:05.895000,2018-03-08 09:03:22.044000,bill,"Environmental|Energy|Budget, Spending, and Taxes",va,lower,2018-03-07 00:00:00,"Governor's Action Deadline Midnight, April 9, 2018",executive,other
HB 904,2018,Expanding trade secrets protections under FOIA,League of Conservation Voters,negative,va,lower,Virginia FOIA; general exclusion for trade secrets submitted to a public body.,2018-01-11 06:54:05.482000,2018-02-14 08:14:49.571000,bill,Transportation|Public Services|Government Reform|Business and Consumers,va,lower,2018-02-13 00:00:00,Left in General Laws,lower,other
HB 1018,2018,Energy Storage System Tax Credit,Sierra Club,positive,va,lower,Energy storage system; establishes tax credit.,2018-01-11 06:54:00.944000,2018-02-14 08:15:01.629000,bill,"Public Services|Budget, Spending, and Taxes",va,lower,2018-02-13 00:00:00,Left in Appropriations,lower,other
HB 1187,2018,Natural gas companies; right of entry,"League of Conservation Voters, Sierra Club",positive,va,lower,Natural gas companies; right of entry upon property.,2018-01-11 06:54:02.597000,2018-02-14 08:15:01.716000,bill,Energy|Transportation|Public Services,va,lower,2018-02-13 00:00:00,Left in Commerce and Labor,lower,other
HB 1270,2018,Blocking Virginia from linking with RGGI,"League of Conservation Voters, Sierra Club",negative,va,lower,Regional Greenhouse Gas Initiative; prohibition on participation by Commonwealth.,2018-01-11 06:54:08.862000,2018-03-16 08:15:22.282000,bill,Environmental,va,lower,2018-03-14 00:00:00,"Governor's Action Deadline Midnight, April 9, 2018",executive,other
HB 1273,2018,Virginia Aletrnative Energy Coastal Protection Act ,"League of Conservation Voters, Sierra Club",positive,va,lower,"Va. Alternative Energy & Coastal Protection Act; regulations to establish carbon dioxide cap, etc.",2018-01-11 06:54:11.089000,2018-02-14 08:14:51.724000,bill,,va,lower,2018-02-13 00:00:00,Left in Commerce and Labor,lower,other
